model,source_row,review_en,true_aspects,predicted_aspects,exact_match,label_error_count,false_positive_aspects,false_negative_aspects,mean_true_probability,min_true_probability,mean_predicted_probability,max_wrong_probability
SBERT retrained,779,the restaurant is very clean and the ambience is very nice,ambiance,ambiance,True,0,None,None,0.9999014048534252,0.9999014048534252,0.9999014048534252,0.0
SBERT retrained,628,it is usually a little less salty than other dishes the taste is unmatched,food,food,True,0,None,None,0.9998946542643491,0.9998946542643491,0.9998946542643491,0.0
SBERT retrained,30,the biryani rice was fluffy and fluffy but the meat was tough,food,food,True,0,None,None,0.9998477865827271,0.9998477865827271,0.9998477865827271,0.0
SBERT retrained,630,the biryani rice was fluffy but the meat was tough,food,food,True,0,None,None,0.9998406275277211,0.9998406275277211,0.9998406275277211,0.0
SBERT retrained,737,the burger patty is thicker than a regular burger and because of that it is bigger,food,food,True,0,None,None,0.9997086008792873,0.9997086008792873,0.9997086008792873,0.0
SBERT retrained,448,could not be more happy with the waiters service but the taste of the food satisfied me,"food, service","food, service",True,0,None,None,0.9982504673407626,0.9975217339111043,0.9982504673407626,0.0
SBERT retrained,211,the taste is bad and the service is even worse,"food, service","food, service",True,0,None,None,0.9982185552897735,0.9975251188659306,0.9982185552897735,0.0
SBERT retrained,65,their service is great and food quality is good,"food, service","food, service",True,0,None,None,0.9979068889159115,0.9971205994521402,0.9979068889159115,0.0
SBERT retrained,660,the rice was very good but the service was not very good,"food, service","food, service",True,0,None,None,0.9978420339705611,0.9970818976733203,0.9978420339705611,0.0
SBERT retrained,669,the food was not good and the service was terrible,"food, service","food, service",True,0,None,None,0.9978390667324855,0.99664693973222,0.9978390667324855,0.0
SBERT retrained,740,i have never had such good service and the food here is also very good,"food, service","food, service",True,0,None,None,0.9976237599450849,0.9971761192084587,0.9976237599450849,0.0
SBERT retrained,659,their service was great but they could improve their focus on the taste of their food,"food, service","food, service",True,0,None,None,0.9972573304280357,0.9955240584325502,0.9972573304280357,0.0
SBERT retrained,543,i liked the fruit juice very much but was not completely happy because their service quality was so bad,"food, service","food, service",True,0,None,None,0.9972208814480288,0.9956384654843713,0.9972208814480288,0.0
SBERT retrained,783,the food tastes bad and the service is terrible,"food, service","food, service",True,0,None,None,0.9971727432063671,0.9952468573132421,0.9971727432063671,0.0
SBERT retrained,534,the food is not as good as before and their service is also bad today,"food, service","food, service",True,0,None,None,0.9970640053800193,0.995556284154101,0.9970640053800193,0.0
