review_en,review_cleaned,food,price,service,ambiance,miscellaneous,suspected_missing_aspect
food prices are relatively low and relatively higher than other places,food price relatively low relatively higher place,0,1,0,0,0,food
the price of the food is not reasonable but i am satisfied with the service,price food reasonable satisfied service,0,1,1,0,0,food
good atmosphere to hangout but food price is high,good atmosphere hangout food price high,0,1,0,1,0,food
the location of the restaurant is good and the price of the food is also low,location restaurant good price food also low,0,1,0,0,1,food
the food is not expensive and there is a good atmosphere for dining with the family,food expensive good atmosphere dining family,0,1,0,1,0,food
the decoration of the restaurant is better than before but the price of all the food has increased a bit,decoration restaurant better price food increased bit,0,1,0,1,0,food
there were many combinations on the menu and the prices were reasonable,many combination menu price reasonable,0,1,0,0,1,food
lack of professionalism among the staff and food prices are too high,lack professionalism among staff food price high,0,1,1,0,0,food
the ambience of the restaurant is good and that is why the food prices seem so high,ambience restaurant good food price seem high,0,1,0,1,0,food
this is the best place and the food is very reasonably priced,best place food reasonably priced,0,1,0,1,0,food
each dish is very expensive and because i think there is a candle light dinner,dish expensive think candle light dinner,0,1,0,1,0,food
the environment is good but the food is expensive,environment good food expensive,0,1,0,1,0,food
the price of the food is so high and then the amount of vat seems more than other restaurants to me,price food high amount vat seems restaurant,0,1,0,0,0,food
food prices here are very low and hence very good restaurant for bachelors,food price low hence good restaurant bachelor,0,1,0,0,1,food
some fake restaurants and food prices are higher than the original places,fake restaurant food price higher original place,0,1,0,0,1,food
we were all very impressed but the food was very expensive,impressed food expensive,0,1,0,0,1,food
food prices are lower than other nearby places but the food is very expensive,food price lower nearby place food expensive,0,1,0,0,0,food
the atmosphere of the restaurant is very refreshing and the price of the food here is also very good,atmosphere restaurant refreshing price food also good,0,1,0,1,0,food
i have never seen a cleaner restaurant and the food environment was different,never seen cleaner restaurant food environment different,0,0,0,1,0,food
the environment of madhuban hotel is not as noisy as the previous hotels and the food prices are also in the middle range,environment madhuban hotel noisy previous hotel food price also middle range,0,1,0,1,0,food
although i had to spend a little more money this money is nothing in front of the good quality service i got,although spend little money money nothing front good quality service got,0,1,1,0,0,food
the timing of the meal was just right and the total cost was very less per person,timing meal right total cost less per person,0,1,1,0,0,food
if everything is good at the wifes favorite restaurant and especially if the price of the food there is low then what else do husbands need,everything good wife favorite restaurant especially price food low else husband need,0,1,0,0,1,food
this restaurant is being cooked by foreign cooks and hence the price of the food is a bit high,restaurant cooked foreign cook hence price food bit high,0,1,0,0,1,food
there is a separate staff to play with the kids in this restaurant and despite all the facilities the food here is reasonably priced,separate staff play kid restaurant despite facility food reasonably priced,0,1,1,0,0,food
the ac in the restaurant is not working and all the customers are in a bad mood as they wait for a long time for the food,ac restaurant working customer bad mood wait long time food,0,0,1,1,0,food
food prices have gone up a lot and because of this the popularity of restaurants is not what it used to be,food price gone lot popularity restaurant used,0,1,0,0,1,food
all the waiters know very well what is on the menu and the restaurant has managed to offer a very good atmosphere to the customers,waiter know well menu restaurant managed offer good atmosphere customer,0,0,1,1,0,food
ordering lower priced items made the waiters experience worse and most of the food seemed overpriced,ordering lower priced item made waiter experience worse food seemed overpriced,0,1,1,0,0,food
i did not like it and the food was too expensive including vat,like food expensive including vat,0,1,0,0,1,food
food service is very good and their atmosphere is bad,food service good atmosphere bad,0,0,1,1,0,food
food prices are a little lower than other places and cleanliness is also very good,food price little lower place cleanliness also good,0,1,0,1,0,food
the staff were rude and the food prices were sky high,staff rude food price sky high,0,1,1,0,0,food
hard to find a good quality restaurant and the price is fair,hard find good quality restaurant price fair,0,1,0,1,0,food
in todays time you cannot believe the low price of the food and the atmosphere of the restaurant is also good,today time cannot believe low price food atmosphere restaurant also good,0,1,0,1,0,food
the cleanliness was very poor and the food prices were high,cleanliness poor food price high,0,1,0,1,0,food
it is necessary to sell the land and go here to eat the price of food is so high but everyone goes here to get the touch of a good environment,necessary sell land go eat price food high everyone go get touch good environment,0,1,0,1,0,food
they are giving free toys to children which is good for marketing but the price of food is high and the price of toys is being collected,giving free toy child good marketing price food high price toy collected,0,1,0,0,1,food
food of normal price is very scarce here and they are not treating all the customers well,food normal price scarce treating customer well,0,1,1,0,0,food
also the food is very affordable it is a great atmosphere overall,also food affordable great atmosphere overall,0,1,0,1,0,food
the restaurant is small but has a lot of expensive items on the menu,restaurant small lot expensive item menu,0,1,0,1,0,food
the price of the food is not what i would like but the service is good,price food would like service good,0,1,1,0,0,food
the ambiance here is great but the food is a bit expensive,ambiance great food bit expensive,0,1,0,1,0,food
the restaurant is located in a good area and the food is affordable,restaurant located good area food affordable,0,1,0,0,1,food
the food is not expensive and has a comfortable atmosphere where you can eat with the family,food expensive comfortable atmosphere eat family,0,1,0,1,0,food
the cake is very expensive but it is more expensive than other cakes,cake expensive expensive cake,0,1,0,0,0,food
the management of the restaurant knows how to run it well the food comes as soon as the order is placed,management restaurant know run well food come soon order placed,0,0,1,0,0,food
80 taka per plate of soup but 2 people can eat it if they order any other side dish,80 taka per plate soup 2 people eat order side dish,1,1,0,0,0,service
skilled staff have improved the restaurant in terms of ambience but the quality of the food remains poor,skilled staff improved restaurant term ambience quality food remains poor,1,0,0,1,0,service
i have been eating bad food with the bill the smell of ginger in chicken fry,eating bad food bill smell ginger chicken fry,1,1,0,0,0,ambiance
the location of the restaurant is good and the price of the food is also low,location restaurant good price food also low,0,1,0,0,1,ambiance
the taste of jhalmuri in the restaurant is similar to that of the shops in akala but the price is higher,taste jhalmuri restaurant similar shop akala price higher,1,1,0,0,0,ambiance
the lemon sorbet of this restaurant is very refreshing and the price is also very low,lemon sorbet restaurant refreshing price also low,1,1,0,0,0,ambiance
food tastes much better and food environment is much better than before,food taste much better food environment much better,1,0,1,0,0,ambiance
the food quality of the restaurant is average but they know how to provide very good service,food quality restaurant average know provide good service,1,0,1,0,0,ambiance
i waited so long but i did not get good quality food in this restaurant,waited long get good quality food restaurant,1,0,1,0,0,ambiance
digital system is being used for all functions including order and payment in this restaurant but the service is getting worse,digital system used function including order payment restaurant service getting worse,0,0,1,0,1,ambiance
today i found a reasonable restaurant and food quality is good,today found reasonable restaurant food quality good,1,1,0,0,0,ambiance
the quality of food is good but the restaurant suffers from lack of skilled employees,quality food good restaurant suffers lack skilled employee,1,0,1,0,0,ambiance
it was understood that the less expensive food can be good but eating the food of this restaurant,understood less expensive food good eating food restaurant,1,1,0,0,0,ambiance
a restaurant and location is also very good to eat a full stomach with less money,restaurant location also good eat full stomach less money,0,1,0,0,1,ambiance
the price of the restaurant food was high but at the same time the quality of the food was good,price restaurant food high time quality food good,1,1,0,0,0,ambiance
the management of the restaurant is not good but the food quality is very good,management restaurant good food quality good,1,0,0,0,1,ambiance
