test_row,dataset_index,review,true_labels,predicted_labels,exact_match,sample_f1,error_count,false_positives,false_negatives,predicted_confidence,maximum_wrong_confidence,prob_food,prob_price,prob_service,prob_ambiance,prob_miscellaneous
94,628,it is usually a little less salty than other dishes the taste is unmatched,['food'],['food'],True,1.0,0,[],[],0.6706481554131419,0.0,0.6706481554131419,0.4352040239646491,0.41058328574286496,0.42485864816189123,0.49725256882628427
56,314,the price of hilsa fish tail filling was also low and the taste was decent,"['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.6605108616215424,0.0,0.6461230460323243,0.6748986772107605,0.31137024805030905,0.33575814475156773,0.41847897383860105
105,204,the taste of kachchi is really unforgettable but the price is very high,"['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.659236325006556,0.0,0.6420905531228421,0.67638209689027,0.3138484336220147,0.33563566739119494,0.4178025778991695
68,356,the price of the food is high but the quality of the food is not so good,"['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.6592345093681091,0.0,0.6380209225600318,0.6804480961761863,0.3154794630275133,0.3337220746642798,0.4173773176541905
65,548,there is no sweetness in the laddu bro and the price is so high that i am disappointed,"['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.6589802057081263,0.0,0.6388082982639754,0.6791521131522772,0.31452592603662616,0.333106204674827,0.4197865871794135
0,692,although the price of the product has increased the quality and taste have not changed,"['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.6589174819081192,0.0,0.6383168825561827,0.6795180812600558,0.31454529512001844,0.33401161221622544,0.41794987794659966
132,81,ilhasvajata is the same and the price is affordable,"['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.6589095363862705,0.0,0.6403251012563063,0.6774939715162348,0.3138037960236968,0.33498829635325256,0.41955742341894864
156,434,there was nothing sweet about lachchi and the price was too expensive,"['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.658794877172923,0.0,0.6482677650578726,0.6693219892879733,0.31460854799907645,0.336238434943614,0.4178776292788505
31,78,amrit taste but the price is a bit high,"['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.6586544722510853,0.0,0.639564094344529,0.6777448501576416,0.31213408406740334,0.3368962059702335,0.41846150027729156
37,309,that is why the taste is slightly different and the price is same as normal khichuri egg,"['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.6586213363804614,0.0,0.6448646370919463,0.6723780356689766,0.3160160484425886,0.3319221405368153,0.42125038510152046
6,382,the dalpuris were not too oily but the price was high,"['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.6585789279781168,0.0,0.6421067378373786,0.675051118118855,0.3138088790641012,0.33521170199520295,0.42001045565149714
33,639,there was not a single piece of meat after all the price is high,"['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.6585346606784738,0.0,0.6401058775998862,0.6769634437570613,0.31485382615194335,0.3357383064782284,0.4182773138820808
128,266,hilsa from mawa ghat has a different taste but the price is a bit higher,"['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.658409565433588,0.0,0.6470896329892447,0.6697294978779311,0.31409600400310217,0.3366523163432647,0.41820240027945765
38,792,meat items are just fat and fat but the price is a bit high,"['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.6583465166595668,0.0,0.6376469314570301,0.6790461018621035,0.311562146348364,0.3377189298515129,0.41954739435212396
