model,source_row,review_en,true_aspects,predicted_aspects,exact_match,label_error_count,false_positive_aspects,false_negative_aspects,mean_true_probability,min_true_probability,mean_predicted_probability,max_wrong_probability
MPNet retrained,628,it is usually a little less salty than other dishes the taste is unmatched,food,food,True,0,None,None,0.6706481554131419,0.6706481554131419,0.6706481554131419,0.0
MPNet retrained,314,the price of hilsa fish tail filling was also low and the taste was decent,"food, price","food, price",True,0,None,None,0.6605108616215424,0.6461230460323243,0.6605108616215424,0.0
MPNet retrained,204,the taste of kachchi is really unforgettable but the price is very high,"food, price","food, price",True,0,None,None,0.659236325006556,0.6420905531228421,0.659236325006556,0.0
MPNet retrained,356,the price of the food is high but the quality of the food is not so good,"food, price","food, price",True,0,None,None,0.6592345093681091,0.6380209225600318,0.6592345093681091,0.0
MPNet retrained,548,there is no sweetness in the laddu bro and the price is so high that i am disappointed,"food, price","food, price",True,0,None,None,0.6589802057081263,0.6388082982639754,0.6589802057081263,0.0
MPNet retrained,692,although the price of the product has increased the quality and taste have not changed,"food, price","food, price",True,0,None,None,0.6589174819081192,0.6383168825561827,0.6589174819081192,0.0
MPNet retrained,81,ilhasvajata is the same and the price is affordable,"food, price","food, price",True,0,None,None,0.6589095363862705,0.6403251012563063,0.6589095363862705,0.0
MPNet retrained,434,there was nothing sweet about lachchi and the price was too expensive,"food, price","food, price",True,0,None,None,0.658794877172923,0.6482677650578726,0.658794877172923,0.0
MPNet retrained,78,amrit taste but the price is a bit high,"food, price","food, price",True,0,None,None,0.6586544722510853,0.639564094344529,0.6586544722510853,0.0
MPNet retrained,309,that is why the taste is slightly different and the price is same as normal khichuri egg,"food, price","food, price",True,0,None,None,0.6586213363804614,0.6448646370919463,0.6586213363804614,0.0
MPNet retrained,382,the dalpuris were not too oily but the price was high,"food, price","food, price",True,0,None,None,0.6585789279781168,0.6421067378373786,0.6585789279781168,0.0
MPNet retrained,639,there was not a single piece of meat after all the price is high,"food, price","food, price",True,0,None,None,0.6585346606784738,0.6401058775998862,0.6585346606784738,0.0
MPNet retrained,266,hilsa from mawa ghat has a different taste but the price is a bit higher,"food, price","food, price",True,0,None,None,0.658409565433588,0.6470896329892447,0.658409565433588,0.0
MPNet retrained,792,meat items are just fat and fat but the price is a bit high,"food, price","food, price",True,0,None,None,0.6583465166595668,0.6376469314570301,0.6583465166595668,0.0
MPNet retrained,231,the price of each item is high but i did not like the taste of each item,"food, price","food, price",True,0,None,None,0.6583416598948355,0.6378258104880717,0.6583416598948355,0.0
