Id,Comment,"{Aspect category,   Sentiment Polarity}",review_en
1,খাবারটি অত্যন্ত সুস্বাদু ছিল  কিন্তু  দাম বেশি ছিল,"{food,   positive},   {price,   negative}",The food was very tasty but the price was high
2,যদিও খাদ্য ভাল ছিল  কিন্তু পরিবেষনা ছিল বাজে।।,"{food,   positive},   {service,   negative}",Although the food was good but the ambience was bad.
3,খাদ্যে সবসময় তাজা স্বাদ এবং তাত্ক্ষণিকভাবে পরিবেশিত।,"{food,   positive},   {service,   positive}",Food always tastes fresh and served promptly.
4,খুব ভাল দাম এবং খুব ভাল সেবা।,"{price,   positive},   {service,   positive}",Very good price and very good service.
5,"এটি একটি চমত্কার শিথিল জায়গা, এখনের  খাদ্য ভাল  ।","{ambiance,   positive},   {food,   positive}","It's a pretty relaxing place, now the food is good."
6,"মাংসের অংশ বিশাল ছিল, দাম বিশেষ কিছু না হলেও।","{food,   positive},   {price,   positive}","The meat portions were huge, although the price was nothing special."
7,সেবা ছিল অনুপযুক্ত এবং খাদ্যটি ছিল গড়ের নিচে।,"{service,   negative},   {food,   negative}",The service was inadequate and the food was below average.
8,খাঁটি খাদ্য  ছিল এবং আমি এক মাস দুইবার যাই!,"{food,   positive},   {miscellaneous,   neutral}",Had authentic food and I go twice a month!
9,"সেখানে কোন পরিবেশ ছিল না , সেবা ছিল অনুপযুক্ত","{ambiance,   negative},   {service,   negative}","There was no atmosphere, service was inadequate"
10,সেখানে কোন পরিবেশ ছিল না  এবং খাদ্যটি ছিল গড়ের নিচে।,"{ambiance,  negative},   {food,   negative}",There was no atmosphere and the food was below average.
11,"শান্ত রেস্টুরেন্ট পছন্দ করি এবং পরিবারের জন্য আমরা শুধুমাত্র একটি উপলক্ষ উদযাপন করতে এখানে যাই ,  ।","{ambiance,  neutral},   {miscellaneous,   neutral}","Love quiet restaurant and for family we go here only to celebrate an occasion,."
12,"এই ব্লকের ভোজসভাকে তাদের সবচেয়ে সেরা বলে মনে করেছি ,   আমি বিশ বছর ধরে ভাল খাওয়া পাচ্ছি ","{ambiance,   positive},   {miscellaneous,   positive}","I found this block of banquets to be the best they've had, I've been eating well for twenty years"
13,"কিন্তু সবকিছু সুস্বাদু ছিল  , সামগ্রিকভাবে মূল্য বেশি ছিল ছিল।","{food,   positive},   {price,   negative}","But everything was delicious, overall the price was high."
14,নোংরা পরিষেবা এবং একটি পরিষ্কার বাথরুম।,"{service,   negative},   {ambiance,   positive}",Dirty service and a clean bathroom.
15,"মহান খাদ্য ,  গ্রেট সেবা ।","{food,   positive},   {service,   positive}","Great food, great service."
16,"গ্রেট খাদ্য ,  নোংরা পরিষেবা ","{food,   positive},   {service,   negative}","Great food, crappy service"
17,গ্রেট খাদ্য এবং একটি পরিষ্কার বাথরুম।,"{food,   positive},   {ambiance,   positive}",Great food and a clean bathroom.
18,"এনাদের নাচোস টা অনেক মজার ,  তবে সবার রুচি এক না। ","{food,   positive},   {miscellaneous,   neutral}","Their nachos are very interesting, but not everyone's taste is the same."
19," আপনাদের রান্না করা মাংসে অর্ধেক হাড্ডি থাকে ,  প্রয়োজনে টাকার পরিমাণ আরেকটু বাড়িয়ে নেন |","{food,   negative},   {price,   negative}","Your cooked meat has half bones, if necessary, increase the amount of money a little more"
20," এদের বেশ কয়েকটি আইটেম সুস্বাদু ,  একইসাথে দামও রিজনেবল।","{food,   positive},   {price,   positive}","Several of their items are delicious, as well as reasonably priced."
21,ভালো কফি অর নিরিবিলি পরিবেশ,"{food,   positive},   {ambiance,   positive}",Good coffee or quiet environment
22,স্টেক মজার ছিল আর খরচও কম,"{food,   positive},   {price,   positive}",The steak was delicious and the cost was low
23,"বন্ডামি সার্ভিস বাদ দেন ,  দাম এত্তো বেশি কেন?","{service,   negative},   {price,   negative}","Bondami service is excluded, why is the price so high?"
24,ডাম্পলিং গুলা তেমন একটা ভালো লাগেনাই । সব দিতে লেট হইছে ।,"{food,   negative},   {service,   negative}",Dumplings are not very good. It is late to pay everything.
25,"খাবারের স্বাদ খুবই বাজে লাগছে ,  আমার কাছে ফ্রাই টা মুখে দিয়ে বমি চলে আসছে !","{food,   negative},   {food,   negative}","The taste of the food is very bad, I have vomited the fries in my mouth!"
26,"তাদের কিচেন রুম কি জঘন্য ,  দেখলে খাওয়ার স্বাধ ভুলে যাবে সবাই","{ambiance,   negative},  {food,   negative}","Their kitchen room is hideous, everyone will forget the taste of food"
27,"এত প্রাইসে ,  এই রাজকীয় আইটেমগুলো পাওয়া বেশ দুসাধ্য। ","{price,   positive},  {food,   positive}","At these prices, these royal items are hard to come by."
28,"খাবারের স্বাদ চলে আরকি তেমন আহামরি না ,  কিন্তু রেস্টুরেন্টের ডেকোরেশন অনেক সুন্দর।","{food,   neutral},   {ambiance,   positive}","The taste of the food is not that great, but the decoration of the restaurant is very beautiful."
29,জাপানিস খাবারে ঝাল আর লবন একটু কম লাগল কিন্তু নতুন একটা অবিজ্ঞতা ।,"{food,   neutral},   {miscellaneous,   positive}",Salt and salt in Japanese food is a little less but a new ignorance.
30,"দাম ঠিকই আছে ,  কিন্তু টেস্ট আর আগের মতো নাই!","{price,   positive},   {food,   negative}","The price is right, but the test is not the same as before!"
31,বিরিয়ানির রাইসটা চিকন আর ঝরঝরা ছিল কিন্তু মাংসটা শক্ত ছিল।,"{food,   neutral},   {food,   negative}",The biryani rice was fluffy and fluffy but the meat was tough.
32,গরুর মাংস হিসাবে টেস্ট অনেক ভাল ছিল কিন্তু সাথে কালাবুনা নাম দেয়া ঠিক হয় নাই ।,"{food,   positive},   {food,   negative}","As for the beef, the test was very good but the name Kalabuna was not right."
33,ঘরের খাবারের  একটা ফিল আছে । আর এমনিতে রাজহাসের মাংস  পছন্দের আমার।,"{ambiance,   positive},  {food,   positive}",There is a feeling of home cooking. And I like the meat of Rajhas.
34,"প্রতিটা চিকেন আইটেমই খুবই টেস্টি ছিল ,  তারা অনেক তাড়াতাড়িও খাবার সার্ভ করেছিল","{food,   positive},   {service,   positive}","Every chicken item was very tasty, they served the food very quickly"
