test_row,dataset_index,review,true_labels,predicted_labels,exact_match,sample_f1,error_count,false_positives,false_negatives,predicted_confidence,maximum_wrong_confidence,prob_food,prob_price,prob_service,prob_ambiance,prob_miscellaneous
108,208,Cleanliness is very much taken care of in this restaurant and the ambience is also very charming.,['ambiance'],['ambiance'],True,1.0,0,[],[],0.9958750601265592,0.0,0.09829383036297464,0.06752735373319274,0.15689981688929747,0.9958750601265592,0.2387114128250305
87,275,It's a good place and the environment is decent.,['ambiance'],['ambiance'],True,1.0,0,[],[],0.9955170374105341,0.0,0.08806100038695629,0.09258288884589944,0.11903341456747983,0.9955170374105341,0.2611609338127443
106,352,The decoration of the restaurant is very unique and I think it has the best atmosphere.,['ambiance'],['ambiance'],True,1.0,0,[],[],0.9953068857204873,0.0,0.07479423769859737,0.07707957529655403,0.16702864815033996,0.9953068857204873,0.2857770113621177
9,456,The decoration of the restaurant is very simple but I know why this thing has made the atmosphere here beautiful.,['ambiance'],['ambiance'],True,1.0,0,[],[],0.9947972975235335,0.0,0.08757856940399611,0.090019372929224,0.1472372611892713,0.9947972975235335,0.2920586928082475
68,357,The price of the food is high but the quality of the food is not so good.,"['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.9728708780359815,0.0,0.9750403336042268,0.9707014224677362,0.019831071048438464,0.02308168729178949,0.05282257767260156
84,512,The quality of the food was average but the prices were high.,"['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.9726598098632004,0.0,0.9737965271494353,0.9715230925769656,0.021366282118319,0.02221761267776025,0.04936653101225236
159,670,"The food was expensive, but the quality was not good.","['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.9722803919751358,0.0,0.9737312867820317,0.97082949716824,0.021476499713649153,0.023186849516833634,0.049199407197770426
150,640,"There was not a single piece of meat. After all, the price is high!","['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.9722252254151189,0.0,0.973810298649159,0.9706401521810788,0.01943142143416813,0.02468403964458561,0.05191396949662359
128,266,The price of the restaurant food was high but at the same time the quality of the food was good.,"['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.9722195853518215,0.0,0.9689843446103333,0.9754548260933097,0.018876506958985465,0.025744200409807256,0.05785686011353746
104,76,I have never eaten such good kachchi in my life even though the price is high.,"['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.9722160839258767,0.0,0.9786493660863197,0.9657828017654337,0.02091841229154408,0.021043809126886054,0.05111239814223609
44,595,I ate Dumba meat for the first time in my life and I liked the taste but it cost me a lot of money.,"['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.9721762528180626,0.0,0.9697890425812498,0.9745634630548755,0.023212122653805917,0.02323186018854943,0.05277348089792022
107,764,"The food tastes good, but the price would have been better if it was a little lower.","['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.97201069004845,0.0,0.9719245456795914,0.9720968344173087,0.021319772480401088,0.02536300119927325,0.04943512119240057
42,174,The meat curry is very salty but all things considered the price is good.,"['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.9719918835074344,0.0,0.9762137945233033,0.9677699724915656,0.019738613090807676,0.025317979976590188,0.04805955168948712
124,210,Comilla's rasmalai is different and the price is reasonable.,"['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.9718908449741341,0.0,0.9756549835515486,0.9681267063967198,0.02286592214315181,0.022634941113250432,0.04654370103822767
75,199,The curd puffs here are good and the price is quite within the range.,"['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.9718244893571196,0.0,0.9762579670682883,0.967391011645951,0.021044798044848878,0.024171429643506628,0.048930373235535576
125,254,"Although the taste is good, the price should have been lower.","['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.9717714775429536,0.0,0.9723251958740905,0.9712177592118167,0.02265058730541868,0.025012420780651124,0.046867354345387524
123,719,"Biryani was ok, but underpriced.","['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.9717364330615961,0.0,0.9725557776294637,0.9709170884937284,0.024821451026415777,0.02225745677789351,0.04618876295105841
72,795,"Meat items are just fat and fat, but the price is a bit high.","['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.9716462534718366,0.0,0.9738534228955221,0.969439084048151,0.019290347307864657,0.023882768370670902,0.05559823644098933
126,591,Eating fish in this restaurant made me hate fish even more and I felt like paying such a high price.,"['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.9714532743025843,0.0,0.9666875425304262,0.9762190060747425,0.023930323514196578,0.024098787675484425,0.05559008672062888
63,306,Because the taste is mouth-watering and the price is low.,"['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.9713485346932387,0.0,0.9729018486885147,0.9697952206979625,0.021569862892499344,0.025235967334609928,0.054162562360271144
66,49,The meat slices were also quite thin but the price was sky high,"['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.9713351329869093,0.0,0.9745228284533789,0.9681474375204397,0.02529604753911081,0.022325475092342135,0.04652158519936245
6,346,The food here is delicious and the price is cheap.,"['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.9712724503670582,0.0,0.9741244029380742,0.9684204977960422,0.020163282019473407,0.024549873326239216,0.051730501908840244
101,432,The taste of the food was not good and the price was also not good.,"['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.9711842868761831,0.0,0.976986715859761,0.965381857892605,0.020538652156890335,0.02431989178000652,0.04980667940632822
112,84,The price has gone up and so has the taste.,"['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.9711467836760925,0.0,0.9758790530217175,0.9664145143304675,0.020109912564478576,0.023756857722965305,0.055644038263030327
23,721,"Although the price is only 70 rupees, the nihari is very juicy and delicious.","['food', 'price']","['food', 'price']",True,1.0,0,[],[],0.9710927116061272,0.0,0.9741867165751905,0.9679987066370638,0.021352693390828036,0.024138364940438785,0.055618710246019325
