model,source_row,review_en,true_aspects,predicted_aspects,exact_match,label_error_count,false_positive_aspects,false_negative_aspects,mean_true_probability,min_true_probability,mean_predicted_probability,max_wrong_probability
MPNet unretrained,532,from today it is my favorite restaurant because the service here is very bad and the price of everything is very high,"price, service","food, miscellaneous",False,4,"food, miscellaneous","price, service",0.49320976655679893,0.47919849170158785,0.49809562573289884,0.5016253296069315
MPNet unretrained,424,the food here tastes a little better but nothing else is quite customer friendly,"food, miscellaneous","food, service, ambiance",False,3,"service, ambiance",miscellaneous,0.4957339254792439,0.4922053652747632,0.5204945921706098,0.5379082527319401
MPNet unretrained,478,they gave us welcome drinks as soon as we sat in the restaurant which i like very much and the rest of their service was also very good,"food, service","service, ambiance, miscellaneous",False,3,"ambiance, miscellaneous",food,0.5194448789103748,0.47543568099894673,0.5337476971714247,0.5322528763158452
MPNet unretrained,417,the timing of the meal was just right and the total cost was very less per person,"price, service","food, price, miscellaneous",False,3,"food, miscellaneous",service,0.49469916231388805,0.4934114418897743,0.5051826452467997,0.5167961071020917
MPNet unretrained,332,the quality of the food is fair but there is too much traffic for the waiters to use,"food, service","service, ambiance, miscellaneous",False,3,"ambiance, miscellaneous",food,0.5130487475526632,0.47631349337130563,0.5232408563365449,0.5147137329578316
MPNet unretrained,420,if everything is good at the wife s favorite restaurant and especially if the price of the food there is low then what else do husbands need,"price, miscellaneous","food, ambiance, miscellaneous",False,3,"food, ambiance",price,0.49259743203501016,0.4757962016538361,0.5064368070356219,0.5111576622222617
MPNet unretrained,439,home cooked food is better than this restaurant and you do not have to wait so long at home,"food, service","food, ambiance, miscellaneous",False,3,"ambiance, miscellaneous",service,0.5073763996263687,0.5058190867400192,0.5065410409984238,0.5109637552001011
MPNet unretrained,568,it is necessary to sell the land and go here to eat the price of food is so high but everyone goes here to get the touch of a good environment,"price, ambiance","food, price, miscellaneous",False,3,"food, miscellaneous",ambiance,0.5060760972142834,0.4883529097784191,0.5120632236915034,0.5091864034978231
MPNet unretrained,760,although the decor of the restaurant has improved the prices of all the dishes have increased slightly,"price, ambiance","food, price, miscellaneous",False,3,"food, miscellaneous",ambiance,0.5066854066204306,0.495379353453603,0.5055990857283034,0.5079008017522106
MPNet unretrained,599,the pizza was delicious but the experience was horrible,"food, miscellaneous","food, service",False,2,service,miscellaneous,0.5074717577775556,0.49188694944291944,0.5229677332909248,0.5228789004696578
MPNet unretrained,569,they are giving free toys to children which is good for marketing but the price of food is high and the price of toys is being collected,"price, miscellaneous","food, price",False,2,food,miscellaneous,0.5195527671084503,0.4889368205531247,0.536177811092517,0.5221869085212582
MPNet unretrained,23,dumplings are not very good it is late to pay everything,"food, service","food, price",False,2,price,service,0.5021937576646351,0.46817927150902483,0.5283097790841291,0.5204113143480127
MPNet unretrained,740,i have never had such good service and the food here is also very good,"food, service","service, ambiance",False,2,ambiance,food,0.5191070849064725,0.4766492864533985,0.5409682652795023,0.520371647199458
MPNet unretrained,254,the decoration was very different and the atmosphere was very lively,ambiance,"food, ambiance, miscellaneous",False,2,"food, miscellaneous",None,0.5480752590236242,0.5480752590236242,0.5170731776789029,0.519406627565332
MPNet unretrained,109,the location of the restaurant is good and the price of the food is also low,"price, miscellaneous","food, price, ambiance, miscellaneous",False,2,"food, ambiance",None,0.5015718341467206,0.499486532026605,0.5006021409731037,0.5179161396110986
