dataset_index,review,true_miscellaneous,predicted_miscellaneous,probability,error_type,true_aspects
365,food prices are lower than other nearby places but the food is very expensive,0,1,0.29962067969540135,false_positive,['price']
30,the biryani rice was fluffy and fluffy but the meat was tough,0,1,0.26039134048712287,false_positive,['food']
630,the biryani rice was fluffy but the meat was tough,0,1,0.25790977056215453,false_positive,['food']
254,the decoration was very different and the atmosphere was very lively,0,1,0.23271158129702377,false_positive,['ambiance']
351,the decoration of the restaurant is very unique and i think it has the best atmosphere,0,1,0.20658315108516534,false_positive,['ambiance']
31,as for the beef the test was very good but the name kalabuna was not right,0,1,0.19757246672974724,false_positive,['food']
779,the restaurant is very clean and the ambience is very nice,0,1,0.1837498245257904,false_positive,['ambiance']
737,the burger patty is thicker than a regular burger and because of that it is bigger,0,1,0.17990368796406717,false_positive,['food']
208,today i found a reasonable restaurant and food quality is good,0,1,0.17847001588811376,false_positive,"['food', 'price']"
360,some fake restaurants and food prices are higher than the original places,1,0,0.12797220183678532,false_negative,"['price', 'miscellaneous']"
687,heard many names on everyone is lips but i did not like the food here,1,0,0.10117700932247572,false_negative,"['food', 'miscellaneous']"
260,a restaurant and location is also very good to eat a full stomach with less money,1,0,0.08790826382635125,false_negative,"['price', 'miscellaneous']"
637,there is no shortage of shops but i cannot find good food,1,0,0.08484643140736368,false_negative,"['food', 'miscellaneous']"
451,this restaurant is being cooked by foreign cooks and hence the price of the food is a bit high,1,0,0.019683803621750217,false_negative,"['price', 'miscellaneous']"
569,they are giving free toys to children which is good for marketing but the price of food is high and the price of toys is being collected,1,0,0.018881837610888807,false_negative,"['price', 'miscellaneous']"
599,the pizza was delicious but the experience was horrible,1,0,0.017338029191561313,false_negative,"['food', 'miscellaneous']"
424,the food here tastes a little better but nothing else is quite customerfriendly,1,0,0.006989759704662596,false_negative,"['food', 'miscellaneous']"
