source_row,review_en,true_aspects,mpnet_retrained_predicted_aspects,tfidf_predicted_aspects
625,their kitchen is not very nice so people cannot enjoy the taste of the food as much,"food, ambiance","food, ambiance",food
65,their service is great and food quality is good,"food, service","food, service","food, service, ambiance"
244,it was understood that the less expensive food can be good but eating the food of this restaurant,"food, price","food, price","food, ambiance"
744,there was not the chutney it was supposed to be but that did not matter because it was free anyway,"food, price","food, price",food
772,the food is of good quality and reasonably priced,"food, price","food, price",food
422,although the quality of the food was not the best and the environment was not that bad,"food, ambiance","food, ambiance","food, service, ambiance"
109,the location of the restaurant is good and the price of the food is also low,"price, miscellaneous","price, miscellaneous","food, price, miscellaneous"
662,the food tastes great and the service is great,"food, service","food, service","food, service, ambiance"
473,every item tasted amazing and their workmanship was better than other places,"food, service","food, service","food, ambiance"
652,haleem was amazing in one word i became a fan,"food, miscellaneous","food, miscellaneous","food, price, miscellaneous"
33,every chicken item was very tasty they served the food very quickly,"food, service","food, service",food
77,the environment is bad and the food is also bad,"food, ambiance","food, ambiance","food, service, ambiance"
628,it is usually a little less salty than other dishes the taste is unmatched,food,food,"food, price"
439,home cooked food is better than this restaurant and you do not have to wait so long at home,"food, service","food, service","food, service, ambiance"
208,today i found a reasonable restaurant and food quality is good,"food, price","food, price","food, ambiance"
10,love quiet restaurant and for family we go here only to celebrate an occasion,"ambiance, miscellaneous","ambiance, miscellaneous","food, ambiance"
445,the ambiance of bhoot adda restaurant is a bit different from other places and the prices are also high,"price, ambiance","price, ambiance","food, price"
637,there is no shortage of shops but i cannot find good food,"food, miscellaneous","food, miscellaneous","food, ambiance"
329,does not take long to wait and tastes great too,"food, service","food, service","food, ambiance"
2,food always tastes fresh and served promptly,"food, service","food, service",food
518,just wasted my time because the quality of food was not good and i did not like the environment,"food, ambiance","food, ambiance","food, service, ambiance"
588,it was very juicy and we were very happy with their delivery speed,"food, service","food, service","food, price"
